name,categories,address,lat,lng,price,likes,photos,tips,rating,cuisine_similarity,budget_match,rating_match,like_probability
مطعم وقت الشواية,afghan restaurant,"الرياض 14723, المملكة العربية السعودية",24.518983,46.656981,Moderate,0.0,0,0,,0.0,0,0,0.16572613385048973
ديوانية عكاظ,café,"الرياض 14726, المملكة العربية السعودية",24.518511,46.669149,Cheap,0.0,2,0,,0.0,1,0,0.5449488073458703
شاهي جمر راعي الجمس,coffee shop,"الرياض 14726, المملكة العربية السعودية",24.519314,46.670041,Cheap,0.0,0,0,,1.0,1,0,0.9003158999383325
غدير الشام,afghan restaurant,المملكة العربية السعودية,24.51952,46.67166,Moderate,0.0,0,0,,0.0,0,0,0.16572613385048973
Dunkin',donut shop,"الرياض, المملكة العربية السعودية",24.52500124594793,46.43394380604386,Cheap,29.0,90,1,8.9,0.27072508730579614,1,1,0.8603212490675765
Moroccan Taste (المذاق المغربي),café,"Makkah Al Mukarramah Rd, الرياض, المملكة العربية السعودية",24.52493729305084,46.43353856458267,Cheap,22.0,13,2,8.6,0.0,1,1,0.7809091203153626
كرك جدي,café,"الرياض, المملكة العربية السعودية",24.525067850036105,46.43420344582057,Cheap,24.0,27,1,7.3,0.0,1,1,0.7809091203153626
دانكن دونت طريق المزاحميه,donut shop  coffee shop,"الرياض, المملكة العربية السعودية",24.524959,46.433641,Cheap,0.0,6,0,8.3,0.7099031678150134,1,1,0.9373387434418913
دانكن الدزيه,coffee shop,"الرياض 13797, المملكة العربية السعودية",24.524787,46.433555,Cheap,0.0,8,0,,1.0,1,0,0.9003158999383325
بارن كافيه   BARNCAFÉ,café,"الرياض, المملكة العربية السعودية",24.525006,46.433693,Cheap,6.0,12,0,,0.0,1,0,0.5449488073458703
بيالة وفنجال للقهوة العربية,café  coffee shop,"الرياض 13797, المملكة العربية السعودية",24.525237,46.434477,Cheap,0.0,3,0,,0.7793832838301591,1,0,0.8525814338417477
Nestro,coffee shop,"الرياض 13797, المملكة العربية السعودية",24.523778,46.430222,Cheap,0.0,0,0,,1.0,1,0,0.9003158999383325
سيارة آيس كريم,food truck,"Second Ring Rd (Second Ring Rd), الرياض, المملكة العربية السعودية",24.79344388133637,46.87824116776024,Cheap,1.0,13,0,,0.0,1,0,0.5449488073458703
Starbucks,coffee shop,"الرياض 14723, المملكة العربية السعودية",24.522543,46.648867,Cheap,1.0,16,0,8.1,1.0,1,1,0.9641336273406055
مطعم البخاري,middle eastern restaurant,"الرياض 14723, المملكة العربية السعودية",24.524101,46.660976,Moderate,0.0,1,0,,0.0,0,0,0.16572613385048973
بهارات الأولين,middle eastern restaurant,"الرياض, المملكة العربية السعودية",24.525009,46.68766,Moderate,8.0,10,6,7.8,0.0,0,1,0.3715589095019695
Perfect Cooker,asian restaurant,"Along Aramco road.  Corner Intersection, Industrial City 2, المملكة العربية السعودية",24.52047144135105,46.8583871757124,Moderate,1.0,0,1,,0.0,0,0,0.16572613385048973
Koud Restautant,middle eastern restaurant,المملكة العربية السعودية,24.52281119716068,46.8780281006726,Moderate,0.0,0,1,,0.0,0,0,0.16572613385048973
city food court,food court,المملكة العربية السعودية,24.522197358761648,46.907098746788,Unknown,0.0,1,1,,0.0,0,0,0.16572613385048973
Embratoor AlShawerma (امبراطور الشاورما),shawarma place,"الرياض, المملكة العربية السعودية",24.525684,46.435516,Unknown,1.0,6,0,,0.0,0,0,0.16572613385048973
Falafel Pie (فطيرة الفلافل),falafel restaurant,"طريق جدة, الرياض, المملكة العربية السعودية",24.525746,46.435683,Cheap,1.0,4,0,,0.0,1,0,0.5449488073458703
مطعم بخاري,afghan restaurant  middle eastern restaurant,"الرياض 14966, المملكة العربية السعودية",24.530273,46.63415300000001,Moderate,0.0,1,0,,0.0,0,0,0.16572613385048973
بوفيه التاج,fast food restaurant,"الرياض 14966, المملكة العربية السعودية",24.52712600000001,46.63751,Cheap,0.0,0,0,,0.0,1,0,0.5449488073458703
يب برجر YEP BURGER,burger joint,"حي الحزم (شارع القليب بالتقاطع مع شارع محمد بن عرجان), الرياض, المملكة العربية السعودية",24.527554,46.64088,Cheap,5.0,4,6,,0.0,1,0,0.5449488073458703
حكاية قهوة Coffee Tale,coffee shop,"الرياض, المملكة العربية السعودية",24.5299,46.653505,Cheap,5.0,4,0,,1.0,1,0,0.9003158999383325
Kudu,sandwich place,"8293 الكهف، الحزم الرياض 14966 4792 Al Kahf, Al Hazm, Riyadh 14966 4792 (مقابل مستشفى الإمام عبدالرحمن الفيصل), الرياض 14966, المملكة العربية السعودية",24.530676,46.65249,Cheap,0.0,1,0,,0.0,1,0,0.5449488073458703
الماسة الذهبية,wings joint,"عكاظ (الفرسان), الرياض 14723, المملكة العربية السعودية",24.525373,46.662046,Cheap,0.0,0,0,,0.0,1,0,0.5449488073458703
اراك كوفي,coffee shop,"الرياض 14723, المملكة العربية السعودية",24.526627,46.669282,Cheap,0.0,2,0,,1.0,1,0,0.9003158999383325
Burger King,fast food restaurant,"prince mamdooh bin abdulaziz, Riyadh 12241, المملكة العربية السعودية",24.5271348225978,46.669921875,Cheap,1.0,0,0,6.7,0.0,1,0,0.5449488073458703
خذلك برجر,food truck,"خذلك برجر, الرياض 14726, المملكة العربية السعودية",24.52586152575471,46.66978194416453,Cheap,1.0,2,2,,0.0,1,0,0.5449488073458703
‏سيارة الأيسكريم,food truck  ice cream shop,"الرياض, المملكة العربية السعودية",24.52817154625421,46.69256642431064,Cheap,0.0,1,0,,0.16659812268491767,1,0,0.6264194088168221
Pizza Hut (بيتزا هت),pizza place,"حي الشفاء (طريق ديراب), الرياض, المملكة العربية السعودية",24.53075845495237,46.687127578888855,Cheap,4.0,4,0,,0.0,1,0,0.5449488073458703
Croissant Cafe || كروسان كافيه,café,المملكة العربية السعودية,24.53034133670205,46.68850020655214,Cheap,0.0,3,0,,0.0,1,0,0.5449488073458703
بريڤي لاونج,café,"الرياض, المملكة العربية السعودية",24.528991,46.729956,Cheap,2.0,12,1,,0.0,1,0,0.5449488073458703
Kabbani Pattiserie,bakery,"Jareer St., الرياض, المملكة العربية السعودية",24.529725179389416,46.8961846389116,Cheap,0.0,0,0,,0.0,1,0,0.5449488073458703
KFC (كنتاكي),fast food restaurant  fried chicken joint,"Alhazem (Dirab Road), الرياض, المملكة العربية السعودية",24.535847892014125,46.65677051846056,Cheap,2.0,12,1,6.3,0.0,1,0,0.5449488073458703
الرياض بارك,new american restaurant,"شارع بارق, الرياض 14722, المملكة العربية السعودية",24.533847,46.679761,Expensive,0.0,34,0,,0.0,0,0,0.16572613385048973
فوال الطائف,bakery,"الرياض 14725, المملكة العربية السعودية",24.531176,46.686137,Cheap,0.0,0,0,,0.0,1,0,0.5449488073458703
Starbucks,coffee shop,"الرياض, المملكة العربية السعودية",24.53558928999773,46.68863699968899,Cheap,4.0,12,0,8.0,1.0,1,1,0.9641336273406055
ماكدونالدز,american restaurant,"الرياض 14725, المملكة العربية السعودية",24.53288,46.69714000000001,Moderate,3.0,11,1,,0.0,0,0,0.16572613385048973
Dunkin Donuts (دانكن دونتس),donut shop,"الشفا بلازا (شارع الامام مسلم), الرياض 14725, المملكة العربية السعودية",24.53535176259244,46.69324324903404,Cheap,17.0,57,1,8.2,0.27072508730579614,1,1,0.8603212490675765
المشوي العنابي,middle eastern restaurant,"الرياض 14725, المملكة العربية السعودية",24.535543,46.692831,Moderate,6.0,30,3,,0.0,0,0,0.16572613385048973
